,glp_hPa,slp_hPa,precip_mm,temp_C,dewtemp_C,vapor-pres_hPa,rh_percent,wspd_ms,wdir_deg,sunlit_h,rad-global_MJm-2,snowfall_cm,snowdepth_cm,weather_typ,cloudcover_x,visibility_km
1982-04-22 01:00:00,,,2.5,,,,,,,,,,,,,
1982-04-22 02:00:00,,,1.5,,,,,,,,,,,,,
1982-04-22 03:00:00,,,3.0,,,,,,,,,,,,,
1982-04-22 04:00:00,,,1.5,,,,,,,,,,,,,
1982-04-22 05:00:00,,,4.0,,,,,,,,,,,,,
1982-04-22 06:00:00,,,3.0,,,,,,,,,,,,,
1982-04-22 07:00:00,,,3.0,,,,,,,,,,,,,
1982-04-22 08:00:00,,,2.0,,,,,,,,,,,,,
1982-04-22 09:00:00,,,0.5,,,,,,,,,,,,,
1982-04-22 10:00:00,,,0.0,,,,,,,,,,,,,
1982-04-22 11:00:00,,,,,,,,,,,,,,,,
1982-04-22 12:00:00,,,,,,,,,,,,,,,,
1982-04-22 13:00:00,,,0.0,,,,,,,,,,,,,
1982-04-22 14:00:00,,,0.0,,,,,,,,,,,,,
1982-04-22 15:00:00,,,,,,,,,,,,,,,,
1982-04-22 16:00:00,,,,,,,,,,,,,,,,
1982-04-22 17:00:00,,,,,,,,,,,,,,,,
1982-04-22 18:00:00,,,,,,,,,,,,,,,,
1982-04-22 19:00:00,,,,,,,,,,,,,,,,
1982-04-22 20:00:00,,,,,,,,,,,,,,,,
1982-04-22 21:00:00,,,,,,,,,,,,,,,,
1982-04-22 22:00:00,,,,,,,,,,,,,,,,
1982-04-22 23:00:00,,,,,,,,,,,,,,,,
1982-04-23 00:00:00,,,,,,,,,,,,,,,,
