,glp_hPa,slp_hPa,precip_mm,temp_C,dewtemp_C,vapor-pres_hPa,rh_percent,wspd_ms,wdir_deg,sunlit_h,rad-global_MJm-2,snowfall_cm,snowdepth_cm,weather_typ,cloudcover_x,visibility_km
1982-01-04 01:00:00,,,,,,,,,,,,,,,,
1982-01-04 02:00:00,,,0.0,,,,,,,,,,,,,
1982-01-04 03:00:00,,,,,,,,,,,,,,,,
1982-01-04 04:00:00,,,,,,,,,,,,,,,,
1982-01-04 05:00:00,,,,,,,,,,,,,,,,
1982-01-04 06:00:00,,,,,,,,,,,,,,,,
1982-01-04 07:00:00,,,,,,,,,,,,,,,,
1982-01-04 08:00:00,,,,,,,,,,,,,,,,
1982-01-04 09:00:00,,,0.0,,,,,,,,,,,,,
1982-01-04 10:00:00,,,,,,,,,,,,,,,,
1982-01-04 11:00:00,,,0.0,,,,,,,,,,,,,
1982-01-04 12:00:00,,,0.0,,,,,,,,,,,,,
1982-01-04 13:00:00,,,,,,,,,,,,,,,,
1982-01-04 14:00:00,,,,,,,,,,,,,,,,
1982-01-04 15:00:00,,,,,,,,,,,,,,,,
1982-01-04 16:00:00,,,,,,,,,,,,,,,,
1982-01-04 17:00:00,,,0.0,,,,,,,,,,,,,
1982-01-04 18:00:00,,,0.0,,,,,,,,,,,,,
1982-01-04 19:00:00,,,0.0,,,,,,,,,,,,,
1982-01-04 20:00:00,,,0.5,,,,,,,,,,,,,
1982-01-04 21:00:00,,,0.5,,,,,,,,,,,,,
1982-01-04 22:00:00,,,1.5,,,,,,,,,,,,,
1982-01-04 23:00:00,,,4.0,,,,,,,,,,,,,
1982-01-05 00:00:00,,,4.0,,,,,,,,,,,,,
